Name,Category,Price,Quantity
yogurt,SNACKS,250,150
shampoo,PERSONAL_CARE,2000,100
toilet Rolls,PERSONAL_CARE,350,100
sponges,HOUSEHOLD_ITEMS,150,295
chips,SNACKS,250,300
candy,SNACKS,50,100
torchlight,HOUSEHOLD_ITEMS,1500,237
gin,ALCOHOL,5000,180
pringles,SNACKS,5500,0
detergent,HOUSEHOLD_ITEMS,350,205
tea,GROCERIES,250,140
vodka,ALCOHOL,15000,176
eggs,GROCERIES,100,278
bread,GROCERIES,500,370
sanitizers,HEALTH,1000,188
surge,HOUSEHOLD_ITEMS,2500,20
batteries,HOUSEHOLD_ITEMS,200,0
goldenmorn,GROCERIES,1000,150
noodles,GROCERIES,300,300
protein bars,HEALTH,600,190
crackers,SNACKS,100,150
supplements,HEALTH,1500,778
tequila,ALCOHOL,25000,145
toothpaste,PERSONAL_CARE,900,90
nuts,SNACKS,50,200
coffee,GROCERIES,300,167
multivitamins,HEALTH,700,200
muffins,SNACKS,200,40
brandy,ALCOHOL,20000,50
wine,ALCOHOL,1600,50
soap,PERSONAL_CARE,300,200
whiskey,ALCOHOL,12000,145
