Name,Category,Price,Quantity
yogurt,SNACKS,250,50
shampoo,PERSONAL_CARE,2000,100
toilet Rolls,PERSONAL_CARE,350,80
sponges,HOUSEHOLD_ITEMS,150,50
chips,SNACKS,250,100
candy,SNACKS,50,60
gin,ALCOHOL,5000,50
pringles,SNACKS,5500,50
detergent,HOUSEHOLD_ITEMS,350,300
tea,GROCERIES,250,156
vodka,ALCOHOL,15000,100
torch Light,HOUSEHOLD_ITEMS,1500,301
eggs,GROCERIES,100,300
bread,GROCERIES,500,98
sanitizers,HEALTH,1000,160
surge,HOUSEHOLD_ITEMS,2500,56
batteries,HOUSEHOLD_ITEMS,200,150
golden morn,GROCERIES,1000,100
noodles,GROCERIES,300,300
protein bars,HEALTH,600,150
crackers,SNACKS,100,150
supplements,HEALTH,1500,800
tequila,ALCOHOL,25000,50
toothpaste,PERSONAL_CARE,900,50
nuts,SNACKS,50,200
coffee,GROCERIES,300,200
multivitamins,HEALTH,700,200
muffins,SNACKS,200,100
brandy,ALCOHOL,20000,35
wine,ALCOHOL,1600,50
soap,PERSONAL_CARE,300,200
whiskey,ALCOHOL,12000,20chips,SNACKS,50,50
